2020-09-07 17:38:24,194 [AUDIT] Token created by 'anonymous': tokenId='2d59aef9-374b-46d9-b107-a08c09ba530c', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-07 17:38:26,691 [AUDIT] Token created by 'anonymous': tokenId='25a6483a-624e-416a-a5d4-eb6347dcd55a', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599500426686, refreshable=false
2020-09-07 17:38:26,940 [AUDIT] Token created by 'anonymous': tokenId='df51031c-d84f-4bda-ae83-2b2f89aef03b', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599500426933, refreshable=false
2020-09-07 17:38:27,180 [AUDIT] Token created by 'anonymous': tokenId='f11505e9-90a4-46c6-9535-0174bcd39730', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599500427178, refreshable=false
2020-09-07 17:38:27,601 [AUDIT] Token created by 'anonymous': tokenId='39985813-b742-4fbe-bf97-51450b7ea36d', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599500427597, refreshable=false
2020-09-07 17:38:28,413 [AUDIT] Token created by 'anonymous': tokenId='805a7c8f-29be-4692-ae19-b6ba96f763da', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599500428412, refreshable=false
2020-09-07 17:38:28,815 [AUDIT] Token created by 'anonymous': tokenId='48b3db8b-39eb-4109-987c-fe76bcb2bcf6', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-07 17:38:29,304 [AUDIT] Token created by 'anonymous': tokenId='672bfd77-b31d-43e9-b2b1-ed644e7a5c53', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-07 17:38:29,438 [AUDIT] Token created by 'anonymous': tokenId='441c63d2-f026-4aca-adf6-cb587cf40f6d', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599500429423, refreshable=false
2020-09-07 17:38:32,534 [AUDIT] Token created by 'jfrt@01ehmtbkv1fds617cd3vn21s8z': tokenId='938511c4-aafb-4e92-8995-ef2607dfed5b', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=2545580312531, refreshable=false
2020-09-07 17:38:40,697 [AUDIT] Token created by 'anonymous': tokenId='1a1f21f8-b3c5-43cb-90ad-c51666f82165', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-07 17:38:40,825 [AUDIT] Token created by 'jffe@000': tokenId='fab0c0f6-867c-497d-98d2-3ccfb53beb2b', issuer='jffe@000', subject='jffe@000', expiry=1599500920825, refreshable=false
2020-09-07 17:48:44,538 [AUDIT] Token created by 'jffe@000': tokenId='6292a7fc-492f-4145-9ec5-63c600ff71bc', issuer='jffe@000', subject='jffe@000', expiry=1599501524537, refreshable=false
2020-09-07 17:48:44,540 [AUDIT] Token created by 'jffe@000': tokenId='8e2d8816-b2f3-4db5-bc4d-24f35546639f', issuer='jffe@000', subject='jffe@000', expiry=1599501524540, refreshable=false
2020-09-07 17:48:44,543 [AUDIT] Token created by 'jffe@000': tokenId='b85289fb-6ca5-4bda-951f-466e23355647', issuer='jffe@000', subject='jffe@000', expiry=1599501524542, refreshable=false
2020-09-07 17:48:44,605 [AUDIT] Token created by 'jffe@000': tokenId='0d31e0e9-96f2-45f9-998f-9e4baf87c089', issuer='jffe@000', subject='jffe@000', expiry=1599501524597, refreshable=false
2020-09-07 17:58:44,696 [AUDIT] Token created by 'jffe@000': tokenId='7579892d-728d-49a7-bc26-a1970b8f2e1d', issuer='jffe@000', subject='jffe@000', expiry=1599502124696, refreshable=false
2020-09-07 17:58:44,696 [AUDIT] Token created by 'jffe@000': tokenId='ea9fb61c-2a16-4f9e-bfc8-dbecb00c32b7', issuer='jffe@000', subject='jffe@000', expiry=1599502124696, refreshable=false
2020-09-07 17:58:44,697 [AUDIT] Token created by 'jffe@000': tokenId='00e5d892-a1dd-42c4-b35a-4ef14452cee0', issuer='jffe@000', subject='jffe@000', expiry=1599502124697, refreshable=false
2020-09-07 17:58:44,704 [AUDIT] Token created by 'jffe@000': tokenId='8cb0ea0f-8017-42ec-9245-33f71225316e', issuer='jffe@000', subject='jffe@000', expiry=1599502124704, refreshable=false
2020-09-07 18:08:18,372 [AUDIT] Token created by 'anonymous': tokenId='56b1fa2f-a5c9-4c16-b314-df7d9885cd87', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-07 18:08:18,550 [AUDIT] Token revoked by 'anonymous': tokenId='2d59aef9-374b-46d9-b107-a08c09ba530c', issuer='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', subject='jfrou@01ehmtb7hjyn1s78sm33zd7ws9', expiry=none, refreshable=false
2020-09-07 18:08:19,963 [AUDIT] Token created by 'anonymous': tokenId='6957d361-02b6-483d-9cce-3ba6db5ee06a', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-07 18:08:20,002 [AUDIT] Token revoked by 'anonymous': tokenId='48b3db8b-39eb-4109-987c-fe76bcb2bcf6', issuer='jfmd@01ehmtb8dhfgkam1byzedh308k', subject='jfmd@01ehmtb8dhfgkam1byzedh308k', expiry=none, refreshable=false
2020-09-07 18:08:20,565 [AUDIT] Token created by 'anonymous': tokenId='c54fca8e-51ba-419a-a930-e410274fe886', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-07 18:08:20,582 [AUDIT] Token revoked by 'anonymous': tokenId='672bfd77-b31d-43e9-b2b1-ed644e7a5c53', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=none, refreshable=false
2020-09-07 18:08:23,192 [AUDIT] Token created by 'jfrt@01ehmtbkv1fds617cd3vn21s8z': tokenId='b87d1ca1-0961-40bf-bd3c-d294aa4f0e69', issuer='jfrt@01ehmtbkv1fds617cd3vn21s8z', subject='jfrt@01ehmtbkv1fds617cd3vn21s8z', expiry=2545582103188, refreshable=false
2020-09-07 18:08:23,900 [AUDIT] Token created by 'anonymous': tokenId='81056a2d-a60c-43e7-9dda-c6e86dc4a227', issuer='jfac@01ehmtb0dzw5h508bzcs8a1kw4', subject='jfac@01ehmtb0dzw5h508bzcs8a1kw4', expiry=1599502223886, refreshable=false
2020-09-07 18:08:31,938 [AUDIT] Token created by 'anonymous': tokenId='cdbbd27b-5363-45f1-a5d5-830313543fe1', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-07 18:08:31,950 [AUDIT] Token revoked by 'anonymous': tokenId='1a1f21f8-b3c5-43cb-90ad-c51666f82165', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-09-07 18:08:32,008 [AUDIT] Token created by 'jffe@000': tokenId='33d3f3b2-5f97-4f8b-85e2-4b8bdd7b995b', issuer='jffe@000', subject='jffe@000', expiry=1599502712006, refreshable=false
2020-09-07 18:18:34,833 [AUDIT] Token created by 'jffe@000': tokenId='f5e0f9c9-0e08-42b1-9ea0-9698fcdec64f', issuer='jffe@000', subject='jffe@000', expiry=1599503314833, refreshable=false
2020-09-07 18:18:34,857 [AUDIT] Token created by 'jffe@000': tokenId='ef2bf3a4-10da-4ed5-bdbd-74674e4f4736', issuer='jffe@000', subject='jffe@000', expiry=1599503314856, refreshable=false
